X Y
-101.334854 523.144904
-101.337531 523.144657
-101.340208 523.144411
-101.342886 523.144167
-101.345563 523.143925
-101.348240 523.143684
-101.350918 523.143446
-101.353595 523.143210
-101.356273 523.142977
-101.358951 523.142747
-101.361629 523.142520
-101.364306 523.142296
-101.366984 523.142075
-101.369663 523.141858
-101.372341 523.141644
-101.375019 523.141435
-101.377698 523.141230
-101.380377 523.141029
-101.383055 523.140833
-101.385734 523.140641
-101.388414 523.140455
-101.391093 523.140274
-101.393772 523.140098
-101.396452 523.139928
-101.399132 523.139763
-101.401812 523.139605
-101.404492 523.139453
-101.407173 523.139307
-101.409854 523.139168
-101.412534 523.139035
-101.415216 523.138910
-101.417897 523.138791
-101.420579 523.138681
-101.423261 523.138577
-101.425943 523.138481
-101.428625 523.138391
-101.431308 523.138309
-101.433990 523.138233
-101.436673 523.138164
-101.439357 523.138102
-101.442040 523.138046
-101.444724 523.137997
-101.447408 523.137953
-101.450092 523.137916
-101.452776 523.137884
-101.455460 523.137859
-101.458145 523.137839
-101.460830 523.137824
-101.463515 523.137815
-101.466200 523.137811
-101.468885 523.137812
-101.471571 523.137818
-101.474257 523.137830
-101.476942 523.137845
-101.479628 523.137866
-101.482314 523.137891
-101.485001 523.137920
-101.487687 523.137954
-101.490374 523.137992
-101.493060 523.138033
-101.495747 523.138079
-101.498434 523.138128
-101.501121 523.138181
-101.503808 523.138237
-101.506495 523.138296
-101.509183 523.138359
-101.511870 523.138425
-101.514558 523.138494
-101.517245 523.138565
-101.519933 523.138640
-101.522621 523.138716
-101.525309 523.138796
-101.527997 523.138877
-101.530685 523.138961
-101.533373 523.139047
-101.536061 523.139134
-101.538749 523.139224
-101.541438 523.139315
-101.544126 523.139407
-101.546814 523.139501
-101.549503 523.139596
-101.552191 523.139693
-101.554880 523.139790
-101.557568 523.139888
-101.560257 523.139987
-101.562945 523.140087
-101.565634 523.140187
-101.568323 523.140287
-101.571011 523.140388
-101.573700 523.140489
-101.576388 523.140589
-101.579077 523.140690
-101.581766 523.140790
-101.584454 523.140890
-101.587143 523.140989
-101.589831 523.141088
-101.592520 523.141186
-101.595208 523.141283
-101.597897 523.141379
-101.600585 523.141473
-101.603274 523.141567
-101.605962 523.141658
-101.608650 523.141749
-101.611338 523.141837
-101.614026 523.141924
-101.616715 523.142009
-101.619403 523.142091
-101.622091 523.142172
-101.624778 523.142250
-101.627466 523.142326
-101.630154 523.142398
-101.632841 523.142469
-101.635529 523.142536
-101.638216 523.142600
-101.640904 523.142662
-101.643591 523.142720
-101.646278 523.142774
-101.648965 523.142825
-101.651652 523.142873
-101.654339 523.142917
-101.657025 523.142956
-101.659712 523.142992
-101.662398 523.143024
-101.665084 523.143051
-101.667770 523.143074
-101.670456 523.143092
-101.673142 523.143106
-101.675827 523.143114
-101.678513 523.143118
-101.681198 523.143117
-101.683883 523.143111
-101.686568 523.143099
-101.689253 523.143082
-101.691937 523.143059
-101.694622 523.143031
-101.697306 523.142996
-101.699990 523.142956
-101.702674 523.142910
-101.705357 523.142857
-111.428571 523.142857
-111.428571 503.750000
-111.431145 503.715477
-111.433145 503.680856
-111.434628 503.646147
-111.435651 503.611361
-111.436272 503.576505
-111.436547 503.541592
-111.436534 503.506629
-111.436290 503.471627
-111.435872 503.436595
-111.435337 503.401543
-111.434743 503.366482
-111.434145 503.331420
-111.433603 503.296367
-111.433171 503.261333
-111.432909 503.226328
-111.432872 503.191361
-111.433119 503.156442
-111.433705 503.121581
-111.434689 503.086787
-111.436127 503.052071
-111.438076 503.017442
-111.440594 502.982909
-111.443738 502.948483
-111.447565 502.914173
-111.452130 502.879988
-111.457454 502.845932
-111.463506 502.812000
-111.470253 502.778186
-111.477661 502.744484
-111.485697 502.710889
-111.494328 502.677395
-111.503520 502.643996
-111.513240 502.610687
-111.523455 502.577461
-111.534130 502.544314
-111.545234 502.511239
-111.556731 502.478232
-111.568590 502.445285
-111.580776 502.412394
-111.593257 502.379552
-111.605998 502.346755
-111.618967 502.313996
-111.632130 502.281269
-111.645453 502.248570
-111.658904 502.215892
-111.672449 502.183230
-111.686054 502.150577
-111.699687 502.117929
-111.713324 502.085284
-111.726987 502.052660
-111.740703 502.020077
-111.754502 501.987555
-111.768411 501.955117
-111.782460 501.922783
-111.796678 501.890572
-111.811093 501.858508
-111.825734 501.826609
-111.840629 501.794898
-111.855809 501.763394
-111.871300 501.732120
-111.887133 501.701094
-111.903335 501.670340
-111.919936 501.639876
-111.936963 501.609725
-111.954447 501.579906
-111.972416 501.550442
-111.990898 501.521352
